Drug,Classes,Groups,Gene,Protein,Gene Type,Drug Action,DrugBank.ID
Antihemophilic Factor,CoagulantsThrombotic Agents,approvedinvestigational,F2,Prothrombin,enzyme,activator,DB00025
Antihemophilic Factor,CoagulantsThrombotic Agents,approvedinvestigational,PROC,Vitamin K-dependent protein C,enzyme,inactivator,DB00025
Desmopressin,Antidiuretic AgentsHemostaticsRenal Agents,approved,PTGS1,Prostaglandin G/H synthase 1,enzyme,inducer,DB00035
Desmopressin,Antidiuretic AgentsHemostaticsRenal Agents,approved,PTGS2,Prostaglandin G/H synthase 2,enzyme,inducer,DB00035
Aldesleukin,Antineoplastic AgentsAnti-HIV Agents,approved,PTGS2,Prostaglandin G/H synthase 2,enzyme,inducer,DB00041
Aldesleukin,Antineoplastic AgentsAnti-HIV Agents,approved,PLA2G4A,Cytosolic phospholipase A2,enzyme,inducer,DB00041
Aldesleukin,Antineoplastic AgentsAnti-HIV Agents,approved,CYP3A4,Cytochrome P450 3A4,enzyme,inhibitor,DB00041
Aldesleukin,Antineoplastic AgentsAnti-HIV Agents,approved,XDH,Xanthine dehydrogenase/oxidase,enzyme,inducer,DB00041
Aldesleukin,Antineoplastic AgentsAnti-HIV Agents,approved,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00041
Human Serum Albumin,Serum substitutes,approved,CYP2C9,Cytochrome P450 2C9,enzyme,inhibitor,DB00062
Human Serum Albumin,Serum substitutes,approved,MPO,Myeloperoxidase,enzyme,substrate,DB00062
Human Serum Albumin,Serum substitutes,approved,UGT1A9,UDP-glucuronosyltransferase 1-9,enzyme,inducer,DB00062
Pegvisomant,Hormone Replacement Agents,approved,CYP27A1,"Sterol 26-hydroxylase, mitochondrial",enzyme,inducer,DB00082
Pegvisomant,Hormone Replacement Agents,approved,GLUL,Glutamine synthetase,enzyme,inhibitor,DB00082
Pegvisomant,Hormone Replacement Agents,approved,CYP2C18,Cytochrome P450 2C18,enzyme,inhibitor,DB00082
Pegvisomant,Hormone Replacement Agents,approved,CYP3A4,Cytochrome P450 3A4,enzyme,inducer,DB00082
Pegvisomant,Hormone Replacement Agents,approved,BCHE,Cholinesterase,enzyme,inhibitor,DB00082
Pegvisomant,Hormone Replacement Agents,approved,CYP2C19,Cytochrome P450 2C19,enzyme,inhibitor,DB00082
Pegvisomant,Hormone Replacement Agents,approved,CYP4A11,Cytochrome P450 4A11,enzyme,inhibitor,DB00082
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,substrateinducer,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrateinducer,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,inhibitor,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP2C8,Cytochrome P450 2C8,enzyme,inhibitor,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP2C9,Cytochrome P450 2C9,enzyme,inhibitor,DB00091
Cyclosporine,Antirheumatic AgentsDermatologic AgentsImmunosuppressive AgentsAntifungal AgentsEnzyme Inhibitors,approvedinvestigational,CYP2D6,Cytochrome P450 2D6,enzyme,inhibitor,DB00091
Enfuvirtide,HIV Fusion Inhibitors,approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00109
Enfuvirtide,HIV Fusion Inhibitors,approvedinvestigational,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00109
S-Adenosylmethionine,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00118
S-Adenosylmethionine,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,SRM,Spermidine synthase,enzyme,substrate,DB00118
Choline,Lipotropic AgentsNootropic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CEPT1,Choline/ethanolaminephosphotransferase 1,enzyme,substrate,DB00122
Choline,Lipotropic AgentsNootropic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CHKB,Choline/ethanolamine kinase,enzyme,substrate,DB00122
Choline,Lipotropic AgentsNootropic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CHAT,Choline O-acetyltransferase,enzyme,substrate,DB00122
Choline,Lipotropic AgentsNootropic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CHKA,Choline kinase alpha,enzyme,substrate,DB00122
Choline,Lipotropic AgentsNootropic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CHDH,"Choline dehydrogenase, mitochondrial",enzyme,substrate,DB00122
Spermine,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,XDH,Xanthine dehydrogenase/oxidase,enzyme,inhibitor,DB00127
Spermine,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,SAT1,Diamine acetyltransferase 1,enzyme,substrate,DB00127
Spermine,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,SAT2,Diamine acetyltransferase 2,enzyme,substrate,DB00127
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,F13A1,Coagulation factor XIII A chain,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,GLS,"Glutaminase kidney isoform, mitochondrial",enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,GLS2,"Glutaminase liver isoform, mitochondrial",enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM2,Protein-glutamine gamma-glutamyltransferase 2,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM5,Protein-glutamine gamma-glutamyltransferase 5,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM6,Protein-glutamine gamma-glutamyltransferase 6,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM1,Protein-glutamine gamma-glutamyltransferase K,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM4,Protein-glutamine gamma-glutamyltransferase 4,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM3,Protein-glutamine gamma-glutamyltransferase E,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,TGM7,Protein-glutamine gamma-glutamyltransferase Z,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,GMPS,GMP synthase [glutamine-hydrolyzing],enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,ASNS,Asparagine synthetase [glutamine-hydrolyzing],enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,CCBL1,Kynurenine--oxoglutarate transaminase 1,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,PFAS,Phosphoribosylformylglycinamidine synthase,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,PET112L,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,GFPT2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,enzyme,substrate,DB00130
