"Drug","Groups","Indication"
"Lepirudin","approved","For the treatment of heparin-induced thrombocytopenia"
"Cetuximab","approved","For treatment of EGFR-expressing metastatic colorectal cancer in patients who are refractory to other irinotecan-based chemotherapy regimens. Cetuximab is also indicated for treatment of squamous cell carcinoma of the head and neck in conjucntion with radiation therapy."
"Denileukin diftitox","approved/investigational","For treatment of cutaneous T-cell lymphoma"
"Etanercept","approved/investigational","For treatment of severe active rheumatoid arthritis in adults, severe juvenile idiopathic arthritis, ankylosing spondylitis, and severe plaque psoriasis."
"Bivalirudin","approved/investigational","For treatment of heparin-induced thrombocytopenia and for the
prevention of thrombosis. Bivalirudin is indicated for use in
patients undergoing percutaneous coronary intervention (PCI), in
patients at moderate to high risk acute coronary syndromes due to
unstable angina or non-ST segment elevation in whom a PCI is planned."
"Leuprolide","approved/investigational","For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty"
"Peginterferon alfa-2a","approved/investigational","For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma."
"Alteplase","approved","For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli"
"Sermorelin","approved/withdrawn","For the treatment of dwarfism, prevention of HIV-induced weight loss"
"Interferon alfa-n1","approved","For treatment of venereal or genital warts caused by the Human Papiloma Virus"
"Darbepoetin alfa","approved/investigational","For the treatment of anemia (from renal transplants or certain HIV treatment)"
"Urokinase","approved/investigational/withdrawn","Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots."
"Goserelin","approved","Used to treat hormone-sensitive cancers of the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). In addition, goserelin is used in assisted reproduction and in the treatment of precocious puberty."
"Reteplase","approved","For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
"Epoetin alfa","approved","For treatment of anemia (from renal transplants or certain HIV treatment)"
"Salmon Calcitonin","approved/investigational","For the treatment of post-menopausal osteoporosis"
"Interferon alfa-n3","approved/investigational","For the intralesional treatment of refractory or recurring external condylomata acuminata."
"Pegfilgrastim","approved","Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant"
"Sargramostim","approved/investigational","For the treatment of cancer and bone marrow transplant"
"Secretin","approved/investigational","For diagnosis of pancreatic exocrine dysfunction and gastrinoma"
"Peginterferon alfa-2b","approved","For the treatment of chronic hepatitis C in patients not previously treated with interferon alpha who have compensated liver disease and are at least 18 years of age."
"Thyrotropin Alfa","approved","For detection of residueal or recurrent thyroid cancer"
"Antihemophilic Factor","approved/investigational","For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency."
"Anakinra","approved","For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID). "
"Gramicidin D","approved","For treatment of skin lesions, surface wounds and eye infections"
"Intravenous Immunoglobulin","approved/investigational","IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott–Aldrich syndrome and inflammatory skin diseases."
"Anistreplase","approved","For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
"Insulin Regular","approved/experimental/investigational","Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. "
"Tenecteplase","approved","For treatment of myocardial infarction and lysis of intracoronary emboli"
"Menotropins","approved","For the treatment of female infertility"
"Interferon gamma-1b","approved/investigational","Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis."
"Interferon Alfa-2a, Recombinant","approved","For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection."
"Desmopressin","approved","Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. "
"Coagulation factor VIIa","approved","For treatment of hemorrhagic complications in hemophilia A and B"
"Oprelvekin","approved/investigational","Increases reduced platelet levels due to chemotherapy"
"Palifermin","approved","For treatment of oral mucositis associated with chemotherapy and radiation therapy."
"Glucagon recombinant","approved","For treatment of severe hypoglycemia, also used in gastrointestinal imaging"
"Aldesleukin","approved","For treatment of adults with metastatic renal cell carcinoma."
"Botulinum Toxin Type B","approved","For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia."
"Omalizumab","approved/investigational","For treatment of asthma caused by allergies"
"Lutropin alfa","approved","For treatment of female infertility"
"OspA lipoprotein","approved/withdrawn","For prophylactic treatment of Lyme Disease"
"Insulin Lispro","approved","For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. "
"Insulin Glargine","approved","For the treatment of Type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin for the control of hyperglycemia. May be used in pediatric patients with Type 1 diabetes mellitus who require a long-acting (basal) insulin for glycemic control.  "
"Collagenase","approved/investigational","Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers."
"Cetrorelix","approved/investigational","For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation"
"Adalimumab","approved","For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease."
"Somatropin recombinant","approved/investigational","For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss"
"Abciximab","approved","Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and 
in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting."
"Drotrecogin alfa","approved/investigational/withdrawn","For reduction of mortality in patients with severe sepsis."
"Gemtuzumab ozogamicin","approved/investigational/withdrawn","For treatment of CD33-positive acute myeloid leukemia in patients 60 and over who are not candidates for other chemotherapy."
"Alpha-1-proteinase inhibitor","approved","For treatment of panacinar emphysema"
"Interferon beta-1a","approved/investigational","For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum"
"Pegademase bovine","approved","For treatment of adenosine deaminase deficiency"
"Human Serum Albumin","approved","For treatment of severe blood loss, hypervolemia, hypoproteinemia"
"Eptifibatide","approved/investigational","For treatment of myocardial infarction and acute coronary syndrome."
"Serum albumin iodonated","approved","For determination of total blood and plasma volumes"
"Infliximab","approved","To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis."
"Follitropin beta","approved","For treatment of female infertility"
"Vasopressin","approved","For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding"
"Interferon beta-1b","approved","Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks."
"Interferon alfacon-1","approved","For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma"
"Hyaluronidase","approved/investigational","For increase of absorption and distribution of other injected drugs and for rehydration."
"Insulin, porcine","approved","For the treatment of type I and II diabetes mellitus."
"Trastuzumab","approved/investigational","For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2."
"Rituximab","approved","For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis."
"Basiliximab","approved/investigational","For prophylactic treatment of kidney transplant rejection"
"Muromonab","approved/investigational","For treatment of organ transplant recipients, prevention of organ rejection"
"Ibritumomab","approved","For treatment of non-Hodgkin's lymphoma"
"Tositumomab","approved","For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)"
"Pegvisomant","approved","Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly."
"Botulinum Toxin Type A","approved/investigational","For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating."
"Streptokinase","approved","For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae"
"Alemtuzumab","approved/investigational","Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia."
"Capromab","approved","For diagnosis of prostate cancer and detection of intra-pelvic metastases."
"Cyclosporine","approved/investigational","For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. "
"Alefacept","approved/withdrawn","As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis"
"Felypressin","approved","For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential."
"Urofollitropin","approved","For treatment of female infertility"
"Efalizumab","approved/investigational","For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy."
"Choriogonadotropin alfa","approved","For the treatment of female infertility"
"Antithymocyte globulin","approved","For prevention of renal transplant rejection"
"Filgrastim","approved","Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies."
"Coagulation Factor IX","approved","For treatment of hemophilia (Christmas disease)."
"Becaplermin","approved/investigational","For topical treatment of skin ulcers (from diabetes)"
"Octreotide","approved/investigational","For treatment of acromegaly and reduction of side effects from cancer chemotherapy"
"Interferon Alfa-2b, Recombinant","approved","For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma."
"Abarelix","approved/investigational/withdrawn","For palliative treatment of advanced prostate cancer."
"Oxytocin","approved","To assist in labor, elective labor induction, uterine contraction induction"
"Natalizumab","approved/investigational","For treatment of multiple sclerosis."
"Enfuvirtide","approved/investigational","Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS."
"Palivizumab","approved/investigational","For prophylaxis of respiratory diseases casued by respiratory syncytial virus."
"Daclizumab","approved/investigational","Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection"
"Bevacizumab","approved/investigational","As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer."
"Arcitumomab","approved/investigational","For imaging colorectal tumors"
"Pyridoxal Phosphate","nutraceutical","For nutritional supplementation and for treating dietary shortage or imbalance."
"Cyanocobalamin","approved/nutraceutical","For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency."
"Tetrahydrofolic acid","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance."
"L-Histidine","approved/nutraceutical","The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol."
"S-Adenosylmethionine","approved/nutraceutical","S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being."
"Pyruvic acid","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Phenylalanine","approved/nutraceutical","L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs."
"Biotin","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance."
"Choline","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Lysine","approved/nutraceutical","Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity."
"L-Arginine","approved/nutraceutical","Used for nutritional supplementation, also for treating dietary shortage or imbalance."
"Vitamin C","approved/nutraceutical","Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent."
"Spermine","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Aspartic Acid","approved/nutraceutical","There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids."
"L-Ornithine","approved/nutraceutical","Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing."
"L-Glutamine","approved/investigational/nutraceutical","Used for nutritional supplementation, also for treating dietary shortage or imbalance."
"Adenosine monophosphate","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"Alpha-Linolenic Acid","approved/nutraceutical","For nutritional supplementation and for treating dietary shortage or imbalance."
"L-Serine","approved/nutraceutical","Used as a natural moisturizing agent in some cosmetics and skin care products."
"L-Methionine","approved/nutraceutical","Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate."
"L-Tyrosine","approved/nutraceutical","Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies."
"Calcitriol","approved/nutraceutical","Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
"Xanthophyll","approved/nutraceutical","Xanthophylls are taken for nutritional supplementation, and also for treating dietary shortage or imbalance."
"L-Cystine","approved/nutraceutical","It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models."
"Succinic acid","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"Riboflavin","approved/nutraceutical","For the treatment of ariboflavinosis (vitamin B2 deficiency)."
